step,err_cnn,err_bcnn,rms
0,0.2447,0.2107,0.0
50,0.2435,0.2064,0.0151211
100,0.2427,0.208,0.0301192
150,0.2415,0.2078,0.0451069
200,0.2407,0.2091,0.0597701
250,0.2399,0.2079,0.0744051
300,0.2394,0.2059,0.0891518
350,0.2383,0.209,0.103229
400,0.2375,0.206,0.117555
450,0.2365,0.2037,0.131844
500,0.2355,0.2045,0.145734
550,0.2344,0.2042,0.159782
600,0.2331,0.2057,0.173897
650,0.2327,0.2034,0.187225
700,0.2321,0.2049,0.200661
750,0.2306,0.2027,0.214574
800,0.2298,0.2041,0.227636
850,0.2286,0.199,0.241766
900,0.228,0.2033,0.254344
950,0.2267,0.2009,0.267008
1000,0.2261,0.1994,0.280179
