step size = 0.001
all 10,000 images
1000 iterations
save every 50 iteration
step,err_cnn,err_bcnn,err_cnn_adv,err_bcnn_adv,rms
0,0.2447,0.2065,0.9718,0.9764,0.0
50,0.247,0.2099,0.9695,0.9764,0.388013
100,0.2497,0.2106,0.9673,0.9747,0.736202
150,0.2536,0.2101,0.9652,0.9749,1.05243
200,0.258,0.2118,0.963,0.9744,1.34267
250,0.2634,0.2108,0.9611,0.973,1.60925
300,0.2677,0.2108,0.9578,0.9724,1.85748
350,0.2721,0.2125,0.9547,0.9711,2.08855
400,0.2768,0.2132,0.9512,0.9705,2.30462
450,0.281,0.2153,0.9468,0.9697,2.50896
500,0.2851,0.2142,0.9441,0.9691,2.70183
550,0.2889,0.2152,0.9398,0.969,2.88348
600,0.2937,0.2152,0.937,0.9697,3.05471
650,0.2976,0.2141,0.9334,0.9685,3.21788
700,0.3018,0.2172,0.9299,0.9665,3.37382
750,0.306,0.218,0.9265,0.9663,3.52277
800,0.311,0.2168,0.9224,0.9667,3.66557
850,0.3141,0.2189,0.9199,0.9669,3.80264
900,0.3188,0.2202,0.9173,0.9652,3.93393
950,0.3234,0.217,0.9141,0.9649,4.05905
1000,0.3265,0.2202,0.9112,0.9645,4.17909
